code,R,I,A,S,E,C
Q1Y,2,0,0,0,0,0
Q1N,0,0,0,0,0,0
Q2Y,2,0,0,0,0,0
Q2N,0,0,0,0,0,0
Q3Y,2,0,0,0,0,0
Q3N,0,0,0,0,0,0
Q4Y,2,0,0,0,0,0
Q4N,0,0,0,0,0,0
Q5Y,2,0,0,0,0,0
Q5N,0,0,0,0,0,0
Q6Y,0,2,0,0,0,0
Q6N,0,0,0,0,0,0
Q7Y,0,2,0,0,0,0
Q7N,0,0,0,0,0,0
Q8Y,0,2,0,0,0,0
Q8N,0,0,0,0,0,0
Q9Y,0,2,0,0,0,0
Q9N,0,0,0,0,0,0
Q10Y,0,2,0,0,0,0
Q10N,0,0,0,0,0,0
Q11Y,0,0,2,0,0,0
Q11N,0,0,0,0,0,0
Q12Y,0,0,2,0,0,0
Q12N,0,0,0,0,0,0
Q13Y,0,0,2,0,0,0
Q13N,0,0,0,0,0,0
Q14Y,0,0,2,0,0,0
Q14N,0,0,0,0,0,0
Q15Y,0,0,2,0,0,0
Q15N,0,0,0,0,0,0
Q16Y,0,0,0,2,0,0
Q16N,0,0,0,0,0,0
Q17Y,0,0,0,2,0,0
Q17N,0,0,0,0,0,0
Q18Y,0,0,0,2,0,0
Q18N,0,0,0,0,0,0
Q19Y,0,0,0,2,0,0
Q19N,0,0,0,0,0,0
Q20Y,0,0,0,2,0,0
Q20N,0,0,0,0,0,0
Q21Y,0,0,0,0,2,0
Q21N,0,0,0,0,0,0
Q22Y,0,0,0,0,2,0
Q22N,0,0,0,0,0,0
Q23Y,0,0,0,0,2,0
Q23N,0,0,0,0,0,0
Q24Y,0,0,0,0,2,0
Q24N,0,0,0,0,0,0
Q25Y,0,0,0,0,2,0
Q25N,0,0,0,0,0,0
Q26Y,0,0,0,0,0,2
Q26N,0,0,0,0,0,0
Q27Y,0,0,0,0,0,2
Q27N,0,0,0,0,0,0
Q28Y,0,0,0,0,0,2
Q28N,0,0,0,0,0,0
Q29Y,0,0,0,0,0,2
Q29N,0,0,0,0,0,0
Q30Y,0,0,0,0,0,2
Q30N,0,0,0,0,0,0
